PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",00-0000,All Occupations,total,928810,0.8,1000,1,23.83,49560,1.3,8.99,11.63,17.95,29,46.05,18700,24190,37330,60320,95780,,
TX,12420,"Austin-Round Rock, TX",11-0000,Management Occupations,major,41970,2.5,45.185,0.9,57.12,118800,1.6,22.84,33.5,49.33,73.27,#,47520,69670,102610,152410,#,,
TX,12420,"Austin-Round Rock, TX",11-1011,Chief Executives,detailed,590,8.1,0.63,0.36,91.01,189300,5,35.16,54.55,87.74,#,#,73140,113460,182490,#,#,,
TX,12420,"Austin-Round Rock, TX",11-1021,General and Operations Managers,detailed,14520,3.1,15.629,1,57.71,120030,2.4,20.9,31.56,46.8,77.71,#,43470,65650,97350,161640,#,,
TX,12420,"Austin-Round Rock, TX",11-1031,Legislators,detailed,100,11.7,0.106,0.26,*,37880,13.6,*,*,*,*,*,16070,17120,18850,65550,79510,TRUE,
TX,12420,"Austin-Round Rock, TX",11-2011,Advertising and Promotions Managers,detailed,190,27.4,0.208,0.98,50.39,104800,10.3,17.95,31.04,44.07,58.75,#,37340,64560,91670,122190,#,,
TX,12420,"Austin-Round Rock, TX",11-2021,Marketing Managers,detailed,1650,10.2,1.773,1.27,73.67,153220,3.4,38.15,54.07,70.74,88.68,#,79350,112460,147130,184450,#,,
TX,12420,"Austin-Round Rock, TX",11-2022,Sales Managers,detailed,2210,12.8,2.381,0.9,69.13,143790,5,25.72,42.67,60.91,88.36,#,53490,88750,126690,183780,#,,
TX,12420,"Austin-Round Rock, TX",11-2031,Public Relations and Fundraising Managers,detailed,560,7.6,0.605,1.38,57.92,120480,6.6,27.37,37.71,50.1,67.27,#,56930,78450,104200,139920,#,,
TX,12420,"Austin-Round Rock, TX",11-3011,Administrative Services Managers,detailed,3190,4.1,3.43,1.75,51.38,106880,3.4,24.05,39.11,49.28,60.53,74.78,50030,81350,102510,125910,155540,,
