area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1073340,0.7,1000,1,,26.53,55190,1.3,10.16,13.37,19.98,32.41,50.22,21130,27810,41560,67420,104460,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,66750,2,62.188,1.13,,59.21,123150,1.1,24.92,35.02,50.86,74.09,#,51840,72840,105790,154110,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,720,11.1,0.67,0.48,,104.15,216630,4.9,36.56,60.65,#,#,#,76040,126140,#,#,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,21520,4.8,20.051,1.23,,60.03,124860,2.1,20.82,30.96,48.78,77.5,#,43300,64390,101450,161200,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,120,15.6,0.11,0.31,,*,*,*,*,*,*,*,*,*,*,*,*,*,TRUE,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,280,17.4,0.256,1.5,,57.21,119000,7.3,31.26,36.92,53.21,71.36,92.2,65010,76780,110680,148420,191790,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,**,**,**,**,,69.15,143830,2.2,36.64,47.17,63.7,84.32,#,76210,98100,132500,175390,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,**,**,**,**,,75.04,156090,2,35.13,48.47,68.69,92.05,#,73070,100820,142870,191460,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,870,8.3,0.808,1.5,,60.57,125990,5.1,33.01,41.67,52.9,73.1,97.27,68660,86680,110030,152050,202330,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,4020,3.8,3.743,1.79,,51.28,106660,3.6,29.26,39.22,49.93,61.02,73.24,60860,81570,103850,126930,152330,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,**,**,**,**,,76.88,159900,2.8,40.07,55.05,70.54,89.88,#,83340,114510,146720,186950,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,4330,4.2,4.038,0.91,,68.81,143110,2.4,33.33,44.85,60.43,83.22,#,69330,93280,125690,173090,#,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,770,10.5,0.722,0.57,,58.65,122000,3.6,33.13,39.88,50.08,72.18,96.15,68910,82940,104160,150130,199990,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,550,16.1,0.516,1.05,,62.62,130240,2.4,37.18,47.01,59.92,75.38,93.92,77320,97780,124640,156780,195360,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,740,18.8,0.691,0.77,,45.36,94350,6.9,21.52,24.65,39.51,52.77,75.77,44760,51270,82170,109750,157600,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,120,22.5,0.109,0.95,,53.23,110720,4.8,34.77,42.27,51.02,61.02,76.89,72320,87920,106130,126910,159940,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1210,8.2,1.124,1.07,,59.69,124160,4.1,32.99,40.77,53.44,72.71,93.73,68630,84790,111160,151230,194950,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,210,10.2,0.196,0.75,,61.74,128420,5.3,36.11,43.27,53.12,73.69,97.32,75110,90000,110490,153270,202420,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,3760,8,3.505,1.75,,47.19,98160,5.8,28.71,34.71,42.95,51.9,68.39,59710,72190,89330,107950,142260,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,410,24.8,0.38,1.07,,22.3,46380,9,14.01,16.26,20.19,24.67,33.48,29130,33810,42000,51320,69640,,
