PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",00-0000,All Occupations,total,759910,2.3,1000,1,22.18,46130,1.8,8.37,10.83,16.78,26.88,42.61,17400,22530,34900,55910,88620,,
TX,12420,"Austin-Round Rock, TX",11-0000,Management Occupations,major,38930,5,51.234,1.081,52.04,108250,1.9,21.72,31.21,45.06,64.29,#,45170,64920,93720,133720,#,,
TX,12420,"Austin-Round Rock, TX",11-1011,Chief Executives,,990,8.8,1.296,0.602,84.96,176710,3.2,41.58,52.32,#,#,#,86480,108820,#,#,#,,
TX,12420,"Austin-Round Rock, TX",11-1021,General and Operations Managers,,11890,3.1,15.645,1.164,55.08,114560,1.9,21.96,31.21,45.8,68.39,#,45680,64920,95260,142250,#,,
TX,12420,"Austin-Round Rock, TX",11-1031,Legislators,,100,44,0.133,0.257,*,*,*,*,*,*,*,*,*,*,*,*,*,TRUE,
TX,12420,"Austin-Round Rock, TX",11-2011,Advertising and Promotions Managers,,340,33.2,0.452,1.782,35.51,73860,6.1,16.52,21.38,30.29,43.49,60.84,34360,44470,63010,90460,126550,,
TX,12420,"Austin-Round Rock, TX",11-2021,Marketing Managers,,1240,9.5,1.637,1.264,61.7,128330,3.7,31,43.29,57.47,74.82,#,64480,90030,119530,155620,#,,
TX,12420,"Austin-Round Rock, TX",11-2022,Sales Managers,,1800,5.1,2.374,0.945,62.05,129050,3.1,25.64,38.85,56.03,#,#,53340,80810,116540,#,#,,
TX,12420,"Austin-Round Rock, TX",11-2031,Public Relations and Fundraising Managers,,300,11.7,0.4,0.951,54.83,114050,4.6,22.98,33.98,52.2,68.1,#,47800,70680,108570,141640,#,,
TX,12420,"Austin-Round Rock, TX",11-3011,Administrative Services Managers,,2950,9.6,3.878,2.051,43.62,90740,3.5,24.67,34.19,43.27,53.11,62.44,51320,71110,90000,110470,129870,,
TX,12420,"Austin-Round Rock, TX",11-3021,Computer and Information Systems Managers,,2110,6.5,2.77,1.22,61.76,128460,2.4,37.16,46.03,58.13,71.96,#,77290,95740,120920,149670,#,,
TX,12420,"Austin-Round Rock, TX",11-3031,Financial Managers,,2130,5.4,2.805,0.744,56.6,117730,3.6,28.35,37.26,51.14,68.08,#,58970,77500,106370,141610,#,,
TX,12420,"Austin-Round Rock, TX",11-3051,Industrial Production Managers,,640,8.8,0.839,0.744,53.91,112130,3.9,26.51,35.67,50.06,65.58,#,55150,74200,104130,136410,#,,
