PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,total,812600,1,1000,1,22.64,47080,1.4,8.64,11.02,17.12,27.63,43.64,17960,22930,35620,57470,90760,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-0000,Management Occupations,major,42290,2.8,52.041,1.06,52.08,108330,1.4,22.39,32.06,44.73,64.83,#,46560,66690,93040,134840,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1011,Chief Executives,detailed,680,6.3,0.842,0.43,90.56,188360,3.2,41.9,59.83,87.19,#,#,87150,124440,181350,#,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-1021,General and Operations Managers,detailed,13970,2.7,17.195,1.18,55.13,114680,1.8,21.61,31.95,44.62,68.95,#,44950,66460,92810,143420,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2011,Advertising and Promotions Managers,detailed,160,30.8,0.192,0.88,35.55,73940,4.2,17.71,25.71,37.04,43.7,51.97,36840,53470,77040,90900,108100,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2021,Marketing Managers,detailed,1460,9.9,1.802,1.37,61.64,128210,2.8,33.08,46.13,61.63,72.02,88.96,68810,95950,128190,149800,185050,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2022,Sales Managers,detailed,2000,7.2,2.458,0.93,65.69,136630,3.3,27.73,40.18,62.35,83,#,57680,83570,129690,172640,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-2031,Public Relations and Fundraising Managers,detailed,370,17.9,0.46,1.12,55.66,115770,4.8,32.35,39.83,51.54,65.69,85.81,67290,82840,107210,136620,178480,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3011,Administrative Services Managers,detailed,3800,2.1,4.672,2.3,46.96,97680,2.1,28.91,35.78,44.82,55.32,68.88,60130,74420,93220,115070,143270,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3021,Computer and Information Systems Managers,detailed,2240,7.8,2.752,1.16,63.9,132910,3,37.75,47.36,60.47,75.33,#,78530,98520,125780,156680,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3031,Financial Managers,detailed,2380,5.2,2.926,0.79,60.7,126260,2.6,32.1,39.42,53.99,71.26,#,66760,81990,112300,148220,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3051,Industrial Production Managers,detailed,630,9.8,0.781,0.63,48.45,100780,4.1,23.23,29.66,43.73,57.35,81.84,48320,61700,90960,119280,170240,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3061,Purchasing Managers,detailed,430,14.8,0.529,0.99,63.97,133050,5,32.39,43.8,58.02,75.8,#,67360,91100,120670,157650,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3071,"Transportation, Storage, and Distribution Managers",detailed,440,10.8,0.536,0.71,46.12,95930,3.7,22.25,31.17,42.52,57.87,70.13,46270,64830,88430,120360,145870,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3111,Compensation and Benefits Managers,detailed,50,12.4,0.065,0.42,63.88,132860,11.4,34.81,43.15,54.91,70.54,#,72390,89760,114220,146710,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3121,Human Resources Managers,detailed,520,10.8,0.644,0.86,53.8,111900,4.4,31.32,38.89,46.99,58.67,88.2,65150,80880,97750,122040,183460,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-3131,Training and Development Managers,detailed,110,16.2,0.139,0.66,49.04,102000,4.8,32.27,38.45,43.68,52.34,76.38,67120,79970,90850,108870,158870,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9021,Construction Managers,detailed,2200,8.7,2.707,1.7,38.2,79450,3.2,23.01,28.16,35.54,44.57,56.6,47860,58580,73920,92700,117730,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,400,23.4,0.495,1.33,16.65,34620,14.5,9.98,10.85,14.81,20.57,27.1,20750,22580,30800,42790,56370,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9032,"Education Administrators, Elementary and Secondary School",detailed,1690,5.5,2.079,1.2,*,73300,1.4,*,*,*,*,*,51340,60010,71820,86790,99130,TRUE,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9033,"Education Administrators, Postsecondary",detailed,520,12.8,0.639,0.68,57.22,119030,12.4,26.13,34.01,46.82,75.64,#,54350,70730,97380,157330,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9039,"Education Administrators, All Other",detailed,100,25.1,0.117,0.52,40.18,83580,7,20.9,31.42,37.23,45.49,58.63,43460,65360,77440,94630,121950,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9041,Architectural and Engineering Managers,detailed,**,**,**,**,65.67,136600,4,41.32,50.6,62.67,76.38,#,85940,105250,130350,158860,#,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9051,Food Service Managers,detailed,1380,19,1.693,1.16,23.41,48690,4.1,15.59,17.51,21.46,29.34,34.5,32420,36420,44630,61020,71750,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9081,Lodging Managers,detailed,320,43.9,0.393,1.72,32.64,67880,9.7,17.56,20.91,37.18,42.1,45.05,36530,43490,77340,87560,93690,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9111,Medical and Health Services Managers,detailed,1260,6.2,1.554,0.69,42.57,88540,3.3,23.96,31.1,38.39,48.01,64.9,49830,64690,79840,99860,134990,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9121,Natural Sciences Managers,detailed,150,14.7,0.188,0.51,59.04,122800,5.6,38.82,44.58,53.87,66.49,87.98,80760,92740,112050,138300,183010,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9131,Postmasters and Mail Superintendents,detailed,30,0,0.038,0.21,35.59,74030,1.7,24.91,30.32,36.44,40.82,46.37,51800,63060,75790,84900,96460,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9141,"Property, Real Estate, and Community Association Managers",detailed,1160,9.3,1.425,1.16,28.79,59890,4.3,14.82,19.82,23.32,36.96,46.6,30830,41220,48510,76870,96920,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9151,Social and Community Service Managers,detailed,610,6.4,0.753,0.85,34.51,71790,3.3,19.66,24.34,31.89,41.61,55.08,40900,50630,66330,86560,114570,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9161,Emergency Management Directors,detailed,120,4.7,0.143,1.95,31.22,64930,3.4,19.08,23.64,28.57,39.76,45.83,39680,49170,59420,82700,95340,,
TX,12420,"Austin-Round Rock-San Marcos, TX",11-9199,"Managers, All Other",detailed,900,8.4,1.104,0.42,55.13,114670,4.1,26.69,35.83,51.14,65.44,89.76,55520,74530,106360,136120,186700,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-0000,Business and Financial Operations Occupations,major,48520,2.5,59.705,1.21,32.3,67180,1.5,16.52,21.12,28.34,38.81,52.98,34360,43920,58940,80720,110190,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,580,15.9,0.709,0.85,25.26,52540,5.7,12.8,15.54,21.82,27.42,49.48,26630,32320,45380,57040,102920,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,2720,10.9,3.353,1.55,29.75,61870,5.3,16.86,20.48,26.14,35.01,50.08,35060,42590,54360,72820,104170,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1960,9.1,2.416,1.2,25.77,53590,3.1,16.65,19.91,24.16,30.94,36.39,34620,41420,50250,64350,75680,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1041,Compliance Officers,detailed,1690,7.7,2.081,1.19,29.2,60730,3.8,16.94,20.41,26.27,35.37,45.86,35240,42450,54640,73580,95390,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1051,Cost Estimators,detailed,1000,11.4,1.233,0.82,37.9,78830,5.2,18.67,23.63,32.81,49,70.18,38840,49140,68250,101910,145980,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1071,Human Resources Specialists,detailed,3410,3.9,4.201,1.39,28.48,59240,7.4,14.69,19.14,23.84,31.32,42.59,30560,39810,49590,65140,88580,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1075,Labor Relations Specialists,detailed,**,**,**,**,33.81,70330,3.1,25.02,30.39,34.03,39.13,43.8,52040,63210,70780,81380,91110,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1081,Logisticians,detailed,1080,18.6,1.326,1.45,39.42,82000,5.3,23.44,27.82,35.83,46.72,62.35,48750,57870,74530,97180,129700,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1111,Management Analysts,detailed,3440,8.7,4.228,1.02,44.01,91530,5.2,22.08,29.82,40.13,51.16,67.91,45940,62020,83470,106410,141250,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1121,"Meeting, Convention, and Event Planners",detailed,770,11.6,0.944,1.74,24.67,51310,2.4,15.79,18.81,23.8,28.38,34.93,32840,39130,49490,59040,72650,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1131,Fundraisers,detailed,510,23.7,0.63,1.69,26.72,55570,4.7,15.23,20.18,26.8,33.5,37.99,31680,41980,55740,69670,79020,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,700,13.4,0.86,1.31,26.68,55490,5,15.55,18.6,23.08,33.61,41.22,32340,38690,48000,69910,85730,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1151,Training and Development Specialists,detailed,2250,5.9,2.764,1.65,27.83,57880,2.5,16.25,19.98,26.17,33.97,43.56,33800,41560,54440,70650,90600,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1161,Market Research Analysts and Marketing Specialists,detailed,2470,7.5,3.045,1.01,34.59,71940,4.3,15.07,20.65,32.25,45.62,58.41,31350,42950,67080,94900,121490,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-1199,"Business Operations Specialists, All Other",detailed,5920,4.7,7.283,1.02,35.6,74050,3.5,15.44,22.16,31.23,43.5,60.85,32110,46100,64960,90480,126570,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2011,Accountants and Auditors,detailed,9110,4.8,11.206,1.29,31.47,65460,3,17.41,22.21,28.74,37.29,48.77,36200,46210,59790,77560,101430,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2021,Appraisers and Assessors of Real Estate,detailed,390,25.4,0.48,1.05,29.95,62290,4.8,13.18,21.5,28.82,35.1,51,27410,44720,59950,73000,106080,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2031,Budget Analysts,detailed,520,2.6,0.636,1.42,29.28,60910,2.2,20.49,23.54,27.61,33.51,41.66,42620,48960,57430,69700,86650,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2041,Credit Analysts,detailed,280,25.9,0.35,0.74,32.32,67220,4.5,18.62,22.11,29.46,40.6,54.07,38720,46000,61280,84460,112450,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2051,Financial Analysts,detailed,2200,8.6,2.71,1.47,44.18,91890,3.5,23.85,29.81,38.92,53.55,72.74,49610,62010,80960,111380,151310,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2052,Personal Financial Advisors,detailed,900,11.2,1.103,0.82,38.6,80300,11.1,15.04,22.4,30.45,42.75,75.2,31280,46600,63340,88920,156430,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2053,Insurance Underwriters,detailed,550,23,0.676,0.96,31.85,66240,3.2,17.44,22.16,30.88,39.38,45.81,36270,46090,64220,81910,95290,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2061,Financial Examiners,detailed,240,8,0.299,1.39,36.83,76610,6.9,22.14,27.22,33.85,43.77,56.52,46040,56620,70400,91050,117550,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2071,Credit Counselors,detailed,140,17.3,0.172,0.81,19.31,40170,6.9,12.43,13.64,16.62,23.15,30.58,25850,28370,34560,48150,63600,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2072,Loan Officers,detailed,1680,22,2.065,0.94,31.33,65160,4.4,18.3,22.27,30,35.47,48.97,38050,46330,62400,73780,101850,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1800,0,2.221,4.41,21.23,44150,2.2,15.69,17.35,19.89,23.62,26.85,32640,36080,41380,49130,55850,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2082,Tax Preparers,detailed,420,35.2,0.519,1.11,14.14,29410,8.7,9.77,10.56,12.2,16.7,19.08,20320,21970,25370,34730,39690,,
TX,12420,"Austin-Round Rock-San Marcos, TX",13-2099,"Financial Specialists, All Other",detailed,1430,8.2,1.765,1.56,28.87,60040,4.5,16.45,20.07,26.62,33.86,44.51,34210,41750,55370,70430,92580,,
TX,12420,"Austin-Round Rock-San Marcos, TX",15-0000,Computer and Mathematical Occupations,major,45910,3.6,56.5,2.06,40.44,84120,2.2,20.37,27.57,38.59,51.43,65.37,42370,57340,80260,106980,135980,,
TX,12420,"Austin-Round Rock-San Marcos, TX",15-1111,Computer and Information Research Scientists,detailed,430,40.3,0.53,2.77,50.45,104940,4,32.38,40.61,49.62,58.94,74.03,67360,84480,103210,122600,153980,,
